,id,sub_targeting_type,name,children_ids,level,supported_special_industries,hashtag_type
648,19106,GENERAL_INTEREST,Pet Travel Accessories,[],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
649,25999011001,GENERAL_INTEREST,4X,[],4,[],
650,22106,GENERAL_INTEREST,Ordinary Jewelry,[],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
651,25998009,GENERAL_INTEREST,Home Design,[],3,[],
652,25999003004,GENERAL_INTEREST,Coin Pusher,[],4,[],
653,16105100,GENERAL_INTEREST,Cameras & Video Cameras,"['16105100100', '16105100101', '16105100102']",3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
654,20104103,GENERAL_INTEREST,Dictionaries & Translation Tools,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
655,16105,GENERAL_INTEREST,Digital Devices,"['16105100', '16105101', '16105102']",2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
656,25999009012,GENERAL_INTEREST,Idol Training,[],4,[],
657,25998001001,GENERAL_INTEREST,Nijigen,[],4,[],
658,25998018015,GENERAL_INTEREST,Hockey,[],4,[],
659,14107,GENERAL_INTEREST,Feminine Care,[],2,[],
660,25993002,GENERAL_INTEREST,PC,['25993002001'],3,[],
661,10104101,GENERAL_INTEREST,Design Training & Education,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
662,25999004002,GENERAL_INTEREST,Blast-Saga,[],4,[],
663,25999003009,GENERAL_INTEREST,Okey,[],4,[],
664,10104104,GENERAL_INTEREST,Enterprise Management Training,[],3,[],
665,10103103,GENERAL_INTEREST,ESL Testing,[],3,[],
666,14103101107,GENERAL_INTEREST,Beauty Tools,[],4,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
667,20101101,GENERAL_INTEREST,Music,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
668,25100104103,GENERAL_INTEREST,Golf,[],4,[],
669,22108108,GENERAL_INTEREST,Socks,[],3,[],
670,22111,GENERAL_INTEREST,Women's Shoes,"['22111100', '22111101', '22111102', '22111103', '22111104']",2,[],
671,25998019,GENERAL_INTEREST,War,"['25998019001', '25998019002']",3,[],
672,25999012005,GENERAL_INTEREST,Mafia or Social Deduction,[],4,[],
673,25999012006,GENERAL_INTEREST,Minigames,[],4,[],
674,23131,GENERAL_INTEREST,Relationships,[],2,[],
675,25999011004,GENERAL_INTEREST,CCG,[],4,[],
676,20102101,GENERAL_INTEREST,News,[],3,[],
677,16105100102,GENERAL_INTEREST,Digital Cameras,[],4,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
678,25999001003,GENERAL_INTEREST,Ball,[],4,[],
679,27102101,GENERAL_INTEREST,Dairy Products,[],3,[],
680,12107,GENERAL_INTEREST,Child Car Seats,[],2,[],
681,14103101101,GENERAL_INTEREST,Toners,[],4,[],
682,25992,GENERAL_INTEREST,Monetization,"['25992001', '25992002']",2,[],
683,25100115,GENERAL_INTEREST,Board Games,[],3,[],
684,24117,GENERAL_INTEREST,Legal Services,[],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
685,23129,GENERAL_INTEREST,Pets,[],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
686,25100105,GENERAL_INTEREST,Action Games,[],3,[],
687,22108112,GENERAL_INTEREST,Suits,[],3,[],
688,14103,GENERAL_INTEREST,Skin Care,"['14103100', '14103101', '14103102', '14103103', '14103105']",2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
689,27100,GENERAL_INTEREST,Food,"['27100103', '27100106', '27100111', '27100114', '27100122']",2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
690,25999013009,GENERAL_INTEREST,Othello,[],4,[],
691,27101102,GENERAL_INTEREST,Vegetables,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
692,25999003,GENERAL_INTEREST,Casino,"['25999003001', '25999003002', '25999003003', '25999003004', '25999003005', '25999003006', '25999003007', '25999003008', '25999003009', '25999003010', '25999003011', '25999003012', '25999003013']",3,[],
693,22110108,GENERAL_INTEREST,Shorts,[],3,[],
694,27100106,GENERAL_INTEREST,Desserts,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
695,10103101,GENERAL_INTEREST,Overseas Study for Undergraduate Education,[],3,[],
696,22102102,GENERAL_INTEREST,Shoulder Bags,[],3,[],
697,16100114,GENERAL_INTEREST,Electric Ear Cleaners,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
698,20103101,GENERAL_INTEREST,Cameras,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
